"기본항목별",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"이혼건수(건)",11615,11361,12188,12719,14073,16453,17178,20280,19734,17178,23662,24278,26124,28549,35772,38187,39132,42268,42757,44017,45694,49205,53539,59313,65015,68279,79895,91160,116294,117449,119455,134608,144910,166617,138932,128035,124524,124072,116535,123999,116858,114284,114316,115292,115510,109153,107328,106032,108684,110831,106500,101673,93232
"조이혼율(천명당)",0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.7,0.9,0.9,0.9,1.0,1.0,1.0,1.1,1.1,1.2,1.3,1.4,1.5,1.7,2.0,2.5,2.5,2.5,2.8,3.0,3.4,2.9,2.6,2.5,2.5,2.4,2.5,2.3,2.3,2.3,2.3,2.3,2.1,2.1,2.1,2.1,2.2,2.1,2.0,1.8
