,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소비자물가지수 1),86.373,89.850,91.815,93.010,94.196,94.861,95.783,97.645,99.086,99.466,100.000,102.500,107.710
소비자물가상승률 2),2.9,4.0,2.2,1.3,1.3,0.7,1.0,1.9,1.5,0.4,0.5,2.5,5.1
