,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
전체 임금총액,"2,607","2,744","2,837","2,904","2,991","3,106","3,207","3,376","3,490","3,527","3,689","3,869"
상용근로자 임금총액,"2,806","2,948","3,046","3,117","3,204","3,331","3,418","3,592","3,702","3,719","3,893","4,095"
