"기본항목별",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"혼인건수(건)",295137,239457,244780,259112,259604,283226,285910,303156,343013,353824,403031,406795,387468,412984,385188,384686,390229,390276,410129,410708,399312,416872,419774,402593,393121,398484,434911,388960,373500,360407,332090,318407,304877,302503,308598,314304,330634,343559,327715,309759,326104,329087,327073,322807,305507,302828,281635,264455,257622,239159,213502,192507,191690
"조혼인율(천명당)",9.2,7.3,7.3,7.6,7.5,8.0,8.0,8.3,9.3,9.4,10.6,10.5,9.9,10.3,9.5,9.4,9.5,9.4,9.8,9.7,9.3,9.6,9.6,9.0,8.7,8.7,9.4,8.4,8.0,7.6,7.0,6.7,6.3,6.3,6.4,6.5,6.8,7.0,6.6,6.2,6.5,6.6,6.5,6.4,6.0,5.9,5.5,5.2,5.0,4.7,4.2,3.8,3.7
